Count,Time
0,192903286
1,131664516
2,157251198
3,148561666
4,144554363
5,149210617
6,122923278
7,102779710
8,120803852
9,128801498
10,115208195
11,123064386
12,161933298
13,128255845
14,128010662
15,145314264
16,134588507
17,145878976
18,119270039
19,141452673
20,132287930
21,124058643
22,140282778
23,160388473
24,172279229
25,187934768
26,124775028
27,125820166
28,135114132
29,134836656
30,161274099
31,148291234
32,113808773
33,125629252
34,125567808
35,132503216
36,127103057
37,143401672
38,334114812
39,176266662
40,153106563
41,151388120
42,155899147
43,187391288
44,173959761
45,153543812
46,135521892
47,141949845
48,139448827
49,134897458
50,84860647
51,100302987
52,117844462
53,122451342
54,110630354
55,122844585
56,121865173
57,112697133
58,113120478
59,136340540
60,123976836
61,128504737
62,128404279
63,122319349
64,123833729
65,148801577
66,154675917
67,162785766
68,129036041
69,143451600
70,140074546
71,143047887
72,143008321
73,142613359
74,128208700
75,83750513
76,110131724
77,117715540
78,106770324
79,120467884
80,112129653
81,110817687
82,126950880
83,130393416
84,111566749
85,117398099
86,129618527
87,122158744
88,125474088
89,143141980
90,125352474
91,126674092
92,136241178
93,128078904
94,144343788
95,137171404
96,120670704
97,135945867
98,141365240
99,119741394
100,92603320
101,91645224
102,99085942
103,116964750
104,126923399
105,123680082
106,117490223
107,116165593
108,110902878
109,111238250
110,131722482
111,126980387
112,119624871
113,111183217
114,138078760
115,129460050
116,114220537
117,112868743
118,127016093
119,123002755
120,117854772
121,116819079
122,117701852
123,123865387
124,115432486
125,102976819
126,86442346
127,93326323
128,102013095
129,102918046
130,102262213
131,100048217
132,105830353
133,109833194
134,115163445
135,108912000
136,117960756
137,112843789
138,132870468
139,122648756
140,125843425
141,123027161
142,119690083
143,170150019
144,132248937
145,161463697
146,127767854
147,110991762
148,122143130
149,135488560
150,103614720
151,96143735
152,91632568
153,102875371
154,102860938
155,103767754
156,118830008
157,106925503
158,119925591
159,111723255
160,110642792
161,129343611
162,129576739
163,123977695
164,131589317
165,112777434
166,121057759
167,115449208
168,116360410
169,116079769
170,118723707
171,129298652
172,119004091
173,115005383
174,124317664
175,95502749
176,80686729
177,99913090
178,101663177
179,101432633
180,108940646
181,102291609
182,100678488
183,105362352
