Count,Time
0,321018441
1,189240956
2,156693393
3,136979364
4,152017012
5,88038893
6,118037788
7,104870510
8,102188219
9,76115965
10,91110459
11,91870886
12,112221324
13,73207252
14,85455664
15,74940607
16,82730576
17,109701730
18,105355378
19,102206969
20,96696785
21,95208376
22,105655977
23,101521520
24,96523710
25,90721246
26,87190279
27,96246607
28,89369522
29,86643767
30,87878124
31,94699757
32,92391764
33,94819917
34,85573802
35,80687896
36,89862052
37,98108799
38,92733287
39,85988266
40,88895854
41,86136683
42,82465244
43,81849479
44,78161273
45,87799077
46,85081646
47,94026974
48,81653461
49,84046748
50,93240874
51,81004818
52,86549192
53,87499770
54,83580168
55,86473886
56,85999471
57,88570234
58,70081315
59,87891947
60,78981759
61,90806744
62,88093162
63,89111368
64,87897261
65,83882645
66,87605590
67,86142731
68,88415159
69,82304069
70,78922531
71,81496006
72,106697385
73,112196691
74,89694210
75,85245062
76,90037000
77,84494156
78,91772276
79,90932639
80,98279146
81,85321184
82,85001743
83,88986880
84,87790736
85,86331793
86,107208488
87,88513151
88,99868920
89,85254132
90,83841569
91,89307198
92,82404349
93,78803411
94,83648086
95,88521708
96,84026734
97,118177481
98,102927185
99,87679954
100,88240542
101,87292192
102,83373499
103,78346358
104,89827628
105,119152798
106,82900220
107,82870645
108,91572931
109,92179358
110,116341617
111,88765856
112,94380657
113,114772714
114,88294688
115,94529148
116,102312633
117,91978015
118,124266962
119,71868272
120,72387627
121,78797842
122,80805675
123,90518429
124,83875138
125,90202301
126,120510188
127,96727271
128,85017991
129,78155052
130,83188247
131,111883175
132,95096993
133,89941688
134,86779154
135,90098229
136,108198458
137,92045614
138,81461803
139,83282526
140,82728988
141,98147033
142,104050149
143,87548032
144,81856348
145,85983461
146,85398110
147,78333524
148,89954733
149,104647097
150,97007113
151,82058161
152,94825757
153,111385595
154,95043311
155,94244509
156,79051622
157,81226651
158,92958160
159,89504350
160,117119335
161,83893813
162,88098227
163,83911041
164,106654392
165,82698112
166,94431956
167,110490027
168,81540904
169,92628212
170,114064687
171,101661342
172,92192292
173,82185397
174,83150047
175,82435078
176,83596846
177,78686754
178,86836054
179,75213405
180,85099903
181,82670434
182,82537880
183,89953790
184,90555138
185,86364532
186,80707476
187,85252950
188,79887443
189,83862855
190,79156327
191,87208702
192,86053661
193,89293286
194,78996926
195,92624841
196,83144176
197,84194608
198,86334229
199,86800966
200,83631640
201,89797830
