Count,Time
0,194272973
1,166967212
2,147735245
3,214666185
4,92268687
5,106275983
6,97456637
7,106150438
8,126170540
9,112431050
10,101851922
11,71057109
12,94521034
13,100659211
14,94175204
15,106509712
16,111140445
17,76189983
18,96708074
19,99316359
20,262092797
21,108630224
22,108966689
23,107496117
24,71254382
25,90979014
26,97979778
27,85709713
28,92248084
29,116713003
30,121649155
31,116310934
32,131454523
33,117100547
34,123243869
35,147427016
36,95792677
37,102161353
38,120505716
39,117666170
40,137709195
41,131523609
42,111206462
43,111372678
44,148472314
45,104118163
46,104947527
47,99300876
48,108379228
49,92762903
50,89427488
51,87412912
52,88551291
53,90201015
54,90702950
55,91004307
56,70723239
57,93344141
58,96857858
59,87793409
60,84728739
61,85112764
62,104047919
63,98860379
64,89057933
65,84794221
66,86216158
67,82842238
68,82697471
69,87191129
70,88121691
71,87333656
72,96493671
73,104302550
74,87694086
75,90209874
76,79461563
77,82214578
78,94944486
79,103405596
80,92972073
81,100946088
82,218046693
83,103015521
84,93773297
85,145488021
86,146510918
87,211641695
88,99865475
89,110132952
90,103781711
91,88914325
92,96342770
93,91119559
94,87393901
95,79775248
96,78509684
97,92309251
98,99311025
99,105292727
100,94262078
101,84677982
102,96233144
103,98645369
104,93573907
105,97926267
106,101371161
107,100314088
108,92503171
109,93094966
110,88033132
111,106146477
112,88134868
113,90770469
114,86738366
115,93104933
116,78866956
117,87683388
118,89412322
119,92925393
120,97141978
121,107166363
122,103119866
123,101160752
124,89083040
125,91999235
126,87384829
127,95682785
128,109175919
129,98079925
130,87832364
131,95869857
132,84410541
133,92183104
134,95609515
135,90415171
136,89245808
137,92956946
138,246555728
139,106261073
140,94473669
141,145121377
142,128834222
143,99791821
144,144125986
145,90346838
146,89281592
147,100536444
148,120959251
149,125106203
150,101960840
151,112067708
152,124429620
153,83033270
154,126707179
155,95366986
156,85930759
157,91158436
158,96459780
159,152972257
160,102127322
161,96004625
162,84891397
163,89839269
164,80989052
165,94050513
166,94211009
167,93333967
168,103201266
169,119153085
170,94446521
171,134259577
172,101718293
173,92468068
174,119755008
175,128602855
176,105914662
177,130652879
178,89350827
179,88296358
180,126079726
181,96825071
182,84032195
183,88551565
184,92552605
185,114623044
186,119932185
187,147280796
188,100716595
189,144008338
190,101958134
191,115119698
192,94139997
193,84270368
194,88414040
195,83882634
196,80685361
197,91131881
198,89313839
199,94283770
200,89600111
201,102562975
202,95519431
203,111074912
204,103870691
205,130995963
206,93984045
207,86396427
208,90418470
209,87788262
210,87395344
211,83948503
212,85952795
213,82364510
214,85356629
215,80300047
216,75147326
217,90207363
218,83054280
219,81110349
220,85219524
221,89639539
222,79446248
223,84337554
224,87778200
225,80070822
226,96842370
227,109385006
228,99303064
229,103007623
230,100922200
231,155020609
232,108955075
233,98004120
234,86791712
235,102439684
236,82784737
237,99160107
238,83531144
239,94888021
240,96034748
241,86712568
242,91275174
243,87680854
244,90495721
245,83989663
246,89697904
247,85696466
248,86540666
249,85358746
250,89041399
251,93699921
252,82942531
253,84382554
254,85992933
255,87281554
256,75008954
257,82236710
258,87694979
259,78636622
260,77056255
261,75095350
262,85420260
263,83129076
264,92637493
265,99592446
266,99191553
267,101361051
268,108791604
269,85611187
270,83873054
271,79069546
272,81050777
273,71683462
274,84926740
275,76227237
276,70466581
277,77894605
278,83403996
279,83945371
280,80236330
281,77892481
282,79976597
283,88768979
284,78624451
285,85245939
286,79318508
287,79782865
288,77868869
289,77910590
290,84607023
291,75037980
292,82124014
293,77376115
294,91476290
295,105625823
296,84576260
297,105682816
298,90933243
299,95378127
300,114378766
301,114355423
302,121522334
303,127239436
304,99523907
305,107010860
306,91155708
307,91291137
308,90933616
309,85486820
310,97804044
311,96571157
312,97925012
313,82954872
314,113628345
315,85489725
316,116457495
317,98657204
318,92582917
319,95729975
320,95123793
321,88754567
322,107728681
323,97154915
324,170078718
325,96921211
326,77001826
327,82100679
328,90201148
329,88770562
330,89754468
331,91204693
332,100633348
333,100253050
334,106832840
335,104736122
336,68343469
337,84787389
338,84053438
339,86893349
340,91187849
341,82512890
342,90105477
343,114229856
344,89953583
345,112719525
346,88872940
347,78502515
348,77637109
349,83785873
350,89734083
351,103383223
352,121047195
353,93053879
354,101340270
355,81471605
356,71180494
357,95171270
358,84454605
359,90849179
360,87066300
361,75994376
362,77547399
363,81476958
364,84784601
365,92632729
366,98957878
367,102353911
368,88405339
369,96707707
370,94083426
371,99533062
372,91658809
373,87813554
374,105770661
375,101039266
376,102147094
377,95106467
378,105350502
379,86921691
380,86529586
381,87900838
382,94948756
383,96493706
384,86062049
385,91344813
386,80451103
387,107832180
388,99030141
389,91092141
390,90834755
391,91656997
392,91537567
393,90399282
394,127567167
395,97151896
396,82331560
397,96129382
398,101965478
399,88925034
400,99358345
401,97983931
402,103559536
403,89525771
404,96432390
405,106735097
406,102970363
407,86009651
408,98316063
409,90419847
410,93691713
411,108538856
412,107407934
413,92576548
414,98254321
415,96426127
416,75986930
417,113312212
418,97962064
419,101665426
420,105096278
421,101933664
422,92502008
423,99019380
424,92213746
425,81166480
426,94927747
427,87424356
428,93820663
429,90496274
430,98701517
431,97267491
432,101917482
433,93892792
434,87891255
435,96726585
436,78509847
437,87184305
438,83115005
439,109057972
440,100770734
441,86327024
442,95520865
443,89495560
444,88482484
445,83961858
446,82342633
447,87909853
448,88177327
449,77664713
450,88259205
451,79606993
452,103630696
453,94387995
454,94491618
455,87633911
456,69271741
457,83049267
458,103794738
459,97333915
460,91473884
461,107154964
462,98916896
463,96451544
464,103414508
465,102190638
466,97210705
467,136431299
468,98793814
469,89431432
470,95693159
471,97555296
472,90523545
473,90918656
474,85896097
475,95828884
476,78814746
477,122897723
478,117482823
479,108589022
480,98234559
481,97755204
482,98835264
483,105635122
484,88302704
485,88869629
486,102552782
487,86078008
488,137886641
489,92031870
490,94278355
491,100701150
492,96531541
493,91866978
494,97856944
495,90825290
496,81920288
497,97195870
498,94501635
499,83797185
500,83866389
501,78333807
502,79154586
503,87353389
504,84616633
505,100781225
506,102463308
507,179573200
508,105810031
509,99928828
510,110770195
511,116447441
512,110118251
513,90460931
514,89742651
515,86405257
516,64179472
517,77238288
518,81898268
519,73241522
520,82065308
521,101923520
522,90685791
523,96412545
524,105920452
525,117390430
526,93508687
527,84921897
528,109367572
529,100093608
530,101014133
531,124530392
532,124261993
533,127438409
534,105331894
535,150749981
536,78835032
537,88954886
538,104534953
539,131512975
540,101432181
541,92951047
542,91628335
543,84369674
544,90275217
545,87220347
546,87922671
547,86820637
548,85942691
549,85357107
550,87156666
551,111307150
552,104798090
553,83314293
554,83173552
555,90105972
556,71383434
557,87222031
558,92521452
559,112184138
560,103008488
561,121244438
562,94981270
563,96074205
564,86655112
565,85658278
566,86858889
567,84426218
568,91381818
569,86063872
570,83963643
571,82957735
572,77438187
573,90415942
574,86934416
575,86626279
576,73876164
577,89945040
578,86487558
579,79475677
580,85508476
581,88569627
582,93845382
583,103981358
584,96358682
585,86470207
586,84594729
587,78223902
588,87195005
589,82063949
590,88100394
591,93900496
592,80367131
593,79103497
594,83147241
595,84900947
596,73624601
597,92452329
598,84598503
599,81440294
600,92335833
601,86723041
602,82323934
603,91078111
604,115882628
605,93082468
606,89018660
607,94664587
608,82560876
609,95067507
610,123649068
611,94321127
612,93622506
613,83774399
614,80192545
615,80659645
616,75729612
617,86503313
618,86710923
619,90056161
620,79174129
621,88204745
622,83591832
623,84376813
624,93885167
625,82327414
626,88385158
627,86755222
628,83813382
629,84301227
630,83079476
631,88193908
632,83582812
633,90380723
634,88901585
635,82497790
636,75200682
637,87348313
638,83607984
639,83518956
640,82813733
641,88224466
642,119496709
643,93087430
644,78430294
645,82613494
646,86017928
647,91345686
648,80178464
649,80471822
650,90283430
651,78133735
652,84337268
653,81587813
654,91147711
655,82678598
656,71852669
657,80885628
658,81539805
659,91536171
660,84191932
661,82372719
662,85442373
663,82029030
664,90239835
665,83525508
666,87493554
667,93273377
668,82995990
669,86395733
670,85238483
671,101249979
672,77870992
673,84814983
674,93601160
675,90260015
676,76905592
677,88024516
678,86027232
679,83054448
680,82608349
681,86992395
682,82274610
683,87876329
684,85089315
685,81783556
686,82392572
687,77211668
688,102132491
689,85004688
690,83458617
691,81167996
692,88865159
693,83794929
694,82188209
695,88705224
696,70701449
697,90803597
698,77539821
699,89154494
700,94804919
701,90352114
702,85420752
703,90903231
704,92997052
705,101780229
706,101410682
707,85033729
708,93331641
709,94252585
710,98880231
711,101185374
712,91867581
713,105137920
714,94879457
715,121349592
716,96303268
