Count,Time
0,29200031
1,34979993
2,28029327
3,22682168
4,14214522
5,16288493
6,15705054
7,10585174
8,21284285
9,16505017
10,10376005
11,12289403
12,17470448
13,14812239
14,11189493
15,17353388
16,10557561
17,11126717
18,11129734
19,10513349
20,7185970
21,6611469
22,5916457
23,10087290
24,10684015
25,10629822
26,10318395
27,11114017
28,9371506
29,8729293
30,8892234
31,7056303
32,8147889
33,7307219
34,6552034
35,8217430
36,10034625
37,7524304
38,6047887
39,8933303
40,8271384
41,5522377
42,4688250
43,4729772
44,5601491
45,7139855
46,7424288
47,5965033
48,4815426
49,5699104
50,5471457
51,6691186
52,8220050
53,6893415
54,8086314
55,7385507
56,5489869
57,5387912
58,6047773
59,6144256
60,5770729
61,8242104
62,5443305
63,5487755
64,6309422
65,5129278
66,6249101
67,4912346
68,3958905
69,4921373
70,3877196
71,4741782
72,4817716
73,4345783
74,5059983
75,4150004
76,4200966
77,4089825
78,4805221
79,3597033
80,6551817
81,3771563
82,5408178
83,4632763
84,4265843
85,3568923
86,4800438
87,3761335
88,4068587
89,4171582
90,5223711
91,3980474
92,3976903
93,6489271
94,6631408
95,4933452
96,3112881
97,4295412
98,4826677
99,3812120
100,4378972
101,5358444
102,5025233
103,3567535
104,3316586
105,5398543
106,3803740
107,4889823
108,4474427
109,3679211
110,4450446
111,5604612
112,5620355
113,3119742
114,4151471
115,4092207
116,5801030
117,4591374
118,6333397
119,3176732
120,3071039
121,4300399
122,5610622
123,4521708
124,3333178
125,4629311
126,4006495
127,3443186
128,4383958
129,4303455
130,3830641
131,4141362
132,5370902
133,3139538
134,4329702
135,4727496
136,3192391
137,3616801
138,4699339
139,4063764
140,3977152
141,4044252
142,4439850
143,3270268
144,3663287
145,6206875
146,2445210
147,3897569
148,4712918
149,4552411
150,4735976
151,3362289
152,4055428
153,4793869
154,3500775
155,4940249
156,3400909
157,3157052
158,3452740
159,4642380
160,3136875
161,2933977
162,4030292
163,4166931
164,4353511
165,3583744
166,4252470
167,4016279
168,3280785
169,3334482
170,5407546
171,3922603
172,3654993
173,3698183
174,5222390
175,3031634
176,4171128
177,3389772
178,3010311
179,4292181
180,3861430
181,4218817
182,4119456
183,3993884
184,3657468
185,3339352
186,5421446
187,3857569
188,4063437
189,4300679
190,4885434
191,4243312
192,4540547
193,4011129
194,3454448
195,6404145
196,3259543
197,3440839
198,4001023
199,3199304
200,3486466
201,3866664
202,3710404
203,3273224
204,4556857
205,3779136
206,3558914
207,4516431
208,4744613
209,3683982
210,3456453
211,3376792
212,3759355
213,3682946
214,4927263
215,4014537
216,3558414
217,3612019
218,5123020
219,3681831
220,4055456
221,4408956
222,3959236
223,4442789
224,3366865
225,5327170
226,4354742
227,4326207
228,3950702
229,4503400
230,4529327
231,3841405
232,3906882
233,5668624
234,5082493
235,3346339
236,4376847
237,4634681
238,5287163
239,4148147
240,4700271
241,5112612
242,4567131
243,4947703
244,4057696
245,4052743
246,4125786
247,3364481
248,4223866
249,3564200
250,3939654
251,4681683
252,4231615
253,3235140
254,4324559
255,3364366
256,3992554
257,3257832
258,5262343
259,4063400
260,3457215
261,3842594
262,4340636
263,4387360
264,3645159
265,3263733
266,4032010
267,4088115
268,4470496
269,4454146
270,5320842
271,4268930
272,5222912
273,3278845
274,4985248
275,4264241
276,5245349
277,4566650
278,4230076
279,3863514
280,3114754
281,4324711
282,4373048
283,2930352
284,4463373
285,4874051
286,3794767
287,3863235
288,3676633
289,3813513
290,3765911
291,2848479
292,5500886
293,3628354
294,4819839
295,4089517
296,3709351
297,3162125
298,3425285
299,3652231
300,3684339
301,4122103
302,5178088
303,3792173
304,3689619
305,4164488
306,5927614
307,3696524
308,3411761
309,4491020
310,6767192
311,4488238
312,3537361
313,4146401
314,3824903
315,4184356
316,3798048
317,3889632
318,3436645
319,4375181
320,4026707
321,3713218
322,3585014
323,4208349
324,4823952
325,3921548
326,4946390
327,4655781
328,3593865
329,3227449
330,3801545
331,4120193
332,4435707
333,4731479
334,3965378
335,3352228
336,3661706
337,3710702
338,3548014
339,5044516
340,4355506
341,2982107
342,3810483
343,4586845
344,3433633
345,5546322
346,3767298
347,4202785
348,6895261
349,4229166
350,3090730
351,4080633
352,4139626
353,2972102
354,5344928
355,4553865
356,4013164
357,5298147
358,4518380
359,3300696
360,3148150
361,4191483
362,3792952
363,3804027
364,4213340
365,3590855
366,3155414
367,4437994
368,3664153
369,4779234
370,4062838
371,9328334
372,5821613
373,6334344
374,5608670
375,4621621
376,5112926
377,4979406
378,4435094
379,3802786
380,2879922
381,3981084
382,3863936
383,3598844
384,4065116
385,4870565
386,7811538
387,3784410
388,4317710
389,3777908
390,3694066
391,3591864
392,4708433
393,4023122
394,4948298
395,3977463
396,3934132
397,4201566
398,3704395
399,4906097
400,4459697
401,4061038
402,3840754
403,3436575
404,4071301
405,4741050
406,3781133
407,3781739
408,4276675
409,4530393
410,4132520
411,3978139
412,3565852
413,3549484
414,3429676
415,4121249
416,3836425
417,4457476
418,2913229
419,3554152
420,3384126
421,3911746
422,4581249
423,2694590
424,3444151
425,3238427
426,2844889
427,5543077
428,4106513
429,3547622
430,4150095
431,3801160
432,4599272
433,5126841
434,4048969
435,4679912
436,4577585
437,3916399
438,3947788
439,5886185
440,3861902
441,4103167
442,5534952
443,3987607
444,4283059
445,4886759
446,4260746
447,3408108
448,4364633
449,3812945
450,4053931
451,5208024
452,3783892
453,3982692
454,4537600
455,5021530
456,4951896
457,4940666
458,3929917
459,4602299
460,3307225
461,4015487
462,5046730
463,6003957
464,4355413
465,4899420
466,5226580
467,4739937
468,4035766
469,3134585
470,5260470
471,4249959
472,3964691
473,4896927
474,3641454
475,3564771
476,4536224
477,5460497
478,3919005
479,4016531
480,4830247
481,5490806
482,4173220
483,4828731
484,4730098
485,4440979
486,4063067
487,5142639
488,3929589
489,4607459
490,4067402
491,3381835
492,4006453
493,3966249
494,5036805
495,3444277
496,3654939
497,3762955
498,4017365
499,4800883
500,5126025
501,3869538
502,4517785
503,4023065
504,4371242
505,4808325
506,3865653
507,4637289
508,4317951
509,3201888
510,5002257
511,4538600
512,4287304
513,3738356
514,4745484
515,3604801
516,4174834
517,5077478
518,3373950
519,3972889
520,5224292
521,5111861
522,3671068
523,4158407
524,5486693
525,4904642
526,4586266
527,3833111
528,5094808
529,4170030
530,3534460
531,6145974
532,5226447
533,5064158
534,3838373
535,5240488
536,4344158
537,3823883
538,4087820
539,3888250
540,3680758
541,3959227
542,4516632
543,4465698
544,3305324
545,3957969
546,5069178
547,3994374
548,4030174
549,4365625
550,4366388
551,4130614
552,4706399
553,3442714
554,3364885
555,3937607
556,5178767
557,3349588
558,5511619
559,5894198
560,3204123
561,4808415
562,5843429
563,5399222
564,6431581
565,3024536
566,5981604
567,4907329
568,4950790
569,3478793
570,4065355
571,5235540
572,3687762
573,3717027
574,5048249
575,3684580
576,3421071
577,4959753
578,4874069
579,4218814
580,3958593
581,3709759
582,3578852
583,3435821
584,4583109
585,4697092
586,3922657
587,3752800
588,3191328
589,3387378
590,4406633
591,2999564
592,4113494
593,4694389
594,3430704
595,3700290
596,3766739
597,3183030
598,4381735
599,4359571
600,3872375
601,3429121
602,5177455
603,3794056
604,2938885
605,4981930
606,4444846
607,4383104
608,4637202
609,4414476
610,4096411
611,3356660
612,4720509
613,4308186
614,2941292
615,4524188
616,4316021
617,4179066
618,4041390
619,3454783
620,3932001
621,5431652
622,3904526
623,4351999
624,5388179
625,4628062
626,4743873
627,4333297
628,4177485
629,3712740
630,5109627
631,4383718
632,4923753
633,4082043
634,3713740
635,5158197
636,4782252
637,4837852
638,3728862
639,5626444
640,5171285
641,3480583
642,4722509
643,5620547
644,3798299
645,4912769
646,4758031
647,5314891
648,4233726
649,3474350
650,4543082
651,4095353
652,3175620
653,5602272
654,4570790
655,4011110
656,3987367
657,4739459
658,3549916
659,4548386
660,4650732
661,4213243
662,3894461
663,4943048
664,4281673
665,4024052
666,4141304
667,3877530
668,5047392
669,5607567
670,3992809
671,5700881
672,3286416
673,4308912
674,5247983
675,3543349
676,3967938
677,4610224
678,3438002
679,3089776
680,4818456
681,3028423
682,3357931
683,6019048
684,3226392
685,4311388
686,4545905
687,4981267
688,4462748
689,3424987
690,4528566
691,4839123
692,4594143
693,4737122
694,4069755
695,5075974
696,3029528
697,3642232
698,5431351
699,3533773
700,3582621
701,6257306
702,2827794
703,4127762
704,4443733
705,3832509
706,3409602
707,5015696
708,5065320
709,3537628
710,5069369
711,4906209
712,3477677
713,4138461
714,4641356
715,3833474
716,4476536
717,5415504
718,5415513
719,4435686
720,3961633
721,4889306
722,3307320
723,3278321
724,4586767
725,3477680
726,4327837
727,5249603
728,4959235
729,5616551
730,3251427
731,5846978
732,12622609
733,29435149
734,27047978
735,13252885
736,9048109
737,9138504
738,9846817
739,8493684
740,6465103
741,5588064
742,5705212
743,5580606
744,6269013
745,3127183
746,5509911
747,6199347
748,3948795
749,5214575
750,3610883
751,4291357
752,3871208
753,4211877
754,4545987
755,3624299
756,3773020
757,4580520
758,3697223
759,4414364
760,6288849
761,4085492
762,3999242
763,4511191
764,4481342
765,4423342
766,3814130
767,5634386
768,3118391
769,3355585
770,5328970
771,3600423
772,5371731
773,5440051
774,4758997
775,7175244
776,6223034
777,8497755
778,6326262
779,4463580
780,5004089
781,3779079
782,7874639
783,4373327
784,5405897
785,4462120
786,3919986
787,5129043
788,3916198
789,6668229
790,5185543
791,6185487
792,3299244
793,5795721
794,3830237
795,4692434
796,3767322
797,4899204
798,2878918
799,3102005
800,4593772
801,3216240
802,4583619
803,3708082
804,3573032
805,4404414
806,3632651
807,3673319
808,4013476
809,3769116
810,4382044
811,4109955
812,4221060
813,3625478
814,6081508
815,5174239
816,3708013
817,4974638
818,5376282
819,3102075
820,3392240
821,5132555
822,3442833
823,5071728
824,4528132
825,3449486
826,3916162
827,6152140
828,2887932
829,4430974
830,4849066
831,5485618
832,4346731
833,3800742
834,4134101
835,4501085
836,6794022
837,4279825
838,3623325
839,5524631
840,5111409
841,5470817
842,4830332
843,3977958
844,4512637
845,3877471
846,3476832
847,3068234
848,4060449
849,3500421
850,3377658
851,3287978
852,3810445
853,3424110
854,5117683
855,4056130
856,3379805
857,3508730
858,3749623
859,4310216
860,3989074
861,3700466
862,3791164
863,5087726
864,4602758
865,3766121
866,4248355
867,4492130
868,3588820
869,4019949
870,4124592
871,3998278
872,5061304
873,3752822
874,3932952
875,4547644
876,3334069
877,3722610
878,5302730
879,3078662
880,3844346
881,4766796
882,3841556
883,4339011
884,4628131
885,6071789
886,6188825
887,4850331
888,5346879
889,5067638
890,4151129
891,3739826
892,3530070
893,3105535
894,4291354
895,3405145
896,3245467
897,3541869
898,3868275
899,4408367
900,4737510
901,5550554
902,6924914
903,6094291
904,6488623
905,5868665
906,6342688
907,5122528
908,3672738
909,4843564
910,4614974
911,3962474
912,3851373
913,3108389
914,3145142
915,4090065
916,3945351
917,3091096
918,4418497
919,3764334
920,3279582
921,4075927
922,4112927
923,3111224
924,4278755
925,3243762
926,3644866
927,3628655
928,3191410
929,3361647
930,3027103
931,3238014
932,3834550
933,2814259
934,3885869
935,2819873
936,3882654
937,3747027
938,2973306
939,5680639
940,4087999
941,4047020
942,3950993
943,4757971
944,3678442
945,3606631
946,3799452
947,3395909
948,4164611
949,3360040
950,3975388
951,5126553
952,3804306
