Count,Time,Count,LocatorTime
0,26718585,0,25866625
1,18131305,1,17872557
2,18331091,2,18162604
3,22523724,3,22315270
4,12386513,4,12278802
5,12483724,5,12351066
6,16406011,6,16322175
7,11828891,7,11749591
8,8414685,8,8341633
9,7530380,9,7461239
10,10688625,10,10611785
11,9434025,11,9345267
12,11423609,12,11257418
13,16162461,13,16051230
14,17355129,14,17272130
15,16658631,15,16628456
16,13901789,16,13856725
17,15164569,17,15121643
18,12291346,18,12261070
19,10025084,19,9993773
20,9022309,20,8993958
21,9788607,21,9747550
22,9972013,22,9940589
23,12424207,23,12344446
24,8858830,24,8810172
25,15300332,25,15239544
26,12982420,26,12950862
27,9608179,27,9576068
28,11605571,28,11564542
29,11942332,29,11903170
30,9782993,30,9732755
31,10625601,31,10594098
32,9011002,32,8955721
33,7763439,33,7711643
34,7479268,34,7448490
35,9135442,35,9087548
36,9928494,36,9873569
37,8039151,37,7987324
38,6221027,38,6186575
39,6744391,39,6713651
40,7513479,40,7479001
41,4436645,41,4386598
42,4278378,42,4248599
43,6711063,43,6678187
44,6009429,44,5975723
45,5944578,45,5887930
46,3925586,46,3874281
47,5568755,47,5505965
48,5167752,48,5135947
49,3713619,49,3652520
50,7420707,50,6986046
51,5020685,51,4993320
52,4988173,52,4957942
53,6101595,53,6056251
54,4514511,54,4486307
55,5230059,55,5187420
56,5551713,56,5527361
57,5450215,57,5427208
58,4583144,58,4560902
59,4109866,59,4087300
60,3600752,60,3575419
61,3415954,61,3372112
62,4318507,62,4293741
63,4008839,63,3908348
64,4421278,64,4383147
65,3539986,65,3502690
66,4278658,66,4250411
67,3269223,67,3248127
68,4231235,68,4211672
69,3556100,69,3535736
70,4614288,70,4592785
71,3622818,71,3602058
72,3749948,72,3730360
73,3282019,73,3260686
74,3542279,74,3520850
75,3354837,75,3324412
76,3325381,76,3307131
77,4119314,77,4098195
78,3137818,78,3118434
79,4244363,79,4223133
80,6242008,80,6220093
81,4303710,81,4268456
